PopID,DataSource,DataVersion,DataUpdated,ESApopName,PopName,MPG,ESU,Species,MAT,CT,Delist,Delist_Class,Size,Priority,Pop_Status,Data_Status,PopFit,Hatchery_Type,Data_Attribution_Source,Data_Link,CA,SPS,Include_In_Tool
302,,,,Steelhead (Snake River Basin DPS) - Chamberlain Creek,Chamberlain Creek,Salmon River,Snake River Basin Steelhead DPS,Steelhead,500,150,500,Viable,Basic,3,Extant,pending,,Wild/None,,,,,TRUE
304,,,,Steelhead (Snake River Basin DPS) - East Fork Salmon River,East Fork Salmon River,Salmon River,Snake River Basin Steelhead DPS,Steelhead,500,150,500,Maintained,Intermediate,2,Extant,pending,,Wild/None,,,,,TRUE
311,,,,Steelhead (Snake River Basin DPS) - Lemhi River,Lemhi River,Salmon River,Snake River Basin Steelhead DPS,Steelhead,1000,300,1000,Viable,Intermediate,2,Provisional,pending,Same,Wild/None,Published: Non CAX DES Format Compliant,https://www.cbfish.org/BiologicalOpinionAction.mvc/Index/2015/BiOpRpaStatus,,,TRUE
312,,,,Steelhead (Snake River Basin DPS) - Little Salmon and Rapid River,Little Salmon and Rapid River,Salmon River,Snake River Basin Steelhead DPS,Steelhead,1000,300,100,Maintained,Intermediate,3,Provisional,pending,Same,Isolated Harvest,Published: Non CAX DES Format Compliant,https://www.cbfish.org/BiologicalOpinionAction.mvc/Index/2015/BiOpRpaStatus,,,TRUE
315,,,,Steelhead (Snake River Basin DPS) - Middle Fork Salmon River Upper Mainstem,Middle Fork Salmon River Upper Mainstem,Salmon River,Snake River Basin Steelhead DPS,Steelhead,1000,300,1000,Viable,Intermediate,3,Extant,pending,,Wild/None,,,,,TRUE
317,,,,Steelhead (Snake River Basin DPS) - North Fork Salmon River,North Fork Salmon River,Salmon River,Snake River Basin Steelhead DPS,Steelhead,500,150,100,Maintained,Basic,3,Extant,pending,,,,,,,TRUE
318,,,,Steelhead (Snake River Basin DPS) - Pahsimeroi River,Pahsimeroi River,Salmon River,Snake River Basin Steelhead DPS,Steelhead,1000,300,100,Maintained,Intermediate,2,Provisional,pending,Same,Wild/None,Published: Non CAX DES Format Compliant,https://www.cbfish.org/BiologicalOpinionAction.mvc/Index/2015/BiOpRpaStatus,,,TRUE
319,,,,Steelhead (Snake River Basin DPS) - Panther Creek,Panther Creek,Salmon River,Snake River Basin Steelhead DPS,Steelhead,500,150,500,Viable,Basic,3,Extant,none,,Wild/None,,,,,TRUE
320,,,,Steelhead (Snake River Basin DPS) - Salmon River Upper Mainstem,Salmon River Upper Mainstem,Salmon River,Snake River Basin Steelhead DPS,Steelhead,1000,300,100,Maintained,Intermediate,2,Provisional,pending,Same,,Published: Non CAX DES Format Compliant,https://www.cbfish.org/BiologicalOpinionAction.mvc/Index/2015/BiOpRpaStatus,,,TRUE
321,,,,Steelhead (Snake River Basin DPS) - Secesh River,Secesh River,Salmon River,Snake River Basin Steelhead DPS,Steelhead,500,150,425,Maintained,Basic,1,Provisional,available,Same,Wild/None,Published: Non CAX DES Format Compliant,https://www.cbfish.org/BiologicalOpinionAction.mvc/Index/2015/BiOpRpaStatus,,,TRUE
324,,,,Steelhead (Snake River Basin DPS) - South Fork Salmon River,South Fork Salmon River,Salmon River,Snake River Basin Steelhead DPS,Steelhead,1000,300,1000,Viable,Intermediate,1,Provisional,tentative,Same,Isolated Harvest,Published: Non CAX DES Format Compliant,https://www.cbfish.org/BiologicalOpinionAction.mvc/Index/2015/BiOpRpaStatus,,,TRUE
56,NOAA Salmonid Population Summary,Status Review 2015,4/25/2016,Chinook Salmon (Snake River Fall-run ESU) - Snake River Lower Mainstem,Snake River Fall,Snake River,Snake River Fall-run Chinook Salmon ESU,Chinook,3000,900,3000,Viable,Small,2,Extant,available,Same,Integrated Conservation and Harvest,NOAA Salmon Population Summary database ,https://www.webapps.nwfsc.noaa.gov/apex/f?p=261:HOME:::::: ,,TRUE,TRUE
65,NOAA Salmonid Population Summary,Status Review 2015,4/25/2016,Chinook Salmon (Snake River Spring/Summer-run ESU) - East Fork South Fork Salmon River,East Fork South Fork Salmon River,South Fork Salmon River,Snake River Spring/Summer-run Chinook Salmon ESU,Chinook,1000,300,250,Maintained,Large,2,Extant,available,Same,Integrated Conservation,NOAA Salmon Population Summary database ,https://www.webapps.nwfsc.noaa.gov/apex/f?p=261:HOME:::::: ,,TRUE,TRUE
71,,,,Chinook Salmon (Snake River Spring/Summer-run ESU) - Little Salmon River,Little Salmon River,South Fork Salmon River,Snake River Spring/Summer-run Chinook Salmon ESU,Chinook,500,150,250,Maintained,Basic,4,,,,Integrated Conservation and Isolated Harvest,,,,,
90,NOAA Salmonid Population Summary,Status Review 2015,4/25/2016,Chinook Salmon (Snake River Spring/Summer-run ESU) - Secesh River,Secesh River,South Fork Salmon River,Snake River Spring/Summer-run Chinook Salmon ESU,Chinook,750,225,750,Viable,Intermediate,2,Extant,available,Same,Wild/None,NOAA Salmon Population Summary database ,https://www.webapps.nwfsc.noaa.gov/apex/f?p=261:HOME:::::: ,,TRUE,TRUE
91,NOAA Salmonid Population Summary,Status Review 2015,4/25/2016,Chinook Salmon (Snake River Spring/Summer-run ESU) - South Fork Salmon River Mainstem,South Fork Salmon River Mainstem,South Fork Salmon River,Snake River Spring/Summer-run Chinook Salmon ESU,Chinook,1000,300,1000,Viable,Large,2,Extant,available,Same,Integrated Conservation and Isolated Harvest,NOAA Salmon Population Summary database ,https://www.webapps.nwfsc.noaa.gov/apex/f?p=261:HOME:::::: ,TRUE,TRUE,TRUE
215,,,,Sockeye Salmon (Snake River ESU) - Alturas Creek,Alturas Creek,Stanley Basin,Snake River Sockeye Salmon ESU,Sockeye,1000,300,1000,Viable,Intermediate,2,Extirpated,,,,,,,,TRUE
216,,,,Sockeye Salmon (Snake River ESU) - Hellroaring Creek,Hellroaring Creek,Stanley Basin,Snake River Sockeye Salmon ESU,Sockeye,,,0,,,,Extirpated,,,,,,,,TRUE
219,,,,Sockeye Salmon (Snake River ESU) - Petit Lake,Petit Lake,Stanley Basin,Snake River Sockeye Salmon ESU,Sockeye,500,150,500,Viable,Small,2,Extirpated,,,,,,,,TRUE
220,,,,Sockeye Salmon (Snake River ESU) - Redfish Lake,Redfish Lake,Stanley Basin,Snake River Sockeye Salmon ESU,Sockeye,1000,300,1000,Viable,Intermediate,2,Extant,available,Same,,Published: Non CAX DES Format Compliant,https://fishandgame.idaho.gov/ifwis/portal/,,,TRUE
221,,,,Sockeye Salmon (Snake River ESU) - Stanley Lake,Stanley Lake,Stanley Basin,Snake River Sockeye Salmon ESU,Sockeye,500,150,500,Viable,Small,2,Extirpated,,,,,,,,TRUE
224,,,,Sockeye Salmon (Snake River ESU) - Yellow Belly Lake,Yellow Belly Lake,Stanley Basin,Snake River Sockeye Salmon ESU,Sockeye,500,150,500,Viable,Small,2,Extirpated,,,,,,,,TRUE
262,NOAA Salmonid Population Summary,Status Review 2015,4/25/2016,Steelhead (Middle Columbia River DPS) - Touchet River,Touchet River,Umatilla And Walla Walla River,Middle Columbia River Steelhead DPS,Steelhead,1000,300,100,Maintained,Intermediate,2,Extant,available,Same,Integrated Conservation and Harvest,NOAA Salmon Population Summary database ,https://www.webapps.nwfsc.noaa.gov/apex/f?p=261:HOME:::::: ,TRUE,TRUE,TRUE
263,NOAA Salmonid Population Summary,Status Review 2015,4/25/2016,Steelhead (Middle Columbia River DPS) - Umatilla River,Umatilla River,Umatilla And Walla Walla River,Middle Columbia River Steelhead DPS,Steelhead,1500,450,1500,Viable,Large,2,Extant,available,Same,Integrated Harvest,NOAA Salmon Population Summary database ,https://www.webapps.nwfsc.noaa.gov/apex/f?p=261:HOME:::::: ,TRUE,TRUE,TRUE
264,NOAA Salmonid Population Summary,Status Review 2015,4/25/2016,Steelhead (Middle Columbia River DPS) - Walla Walla River,Walla Walla River,Umatilla And Walla Walla River,Middle Columbia River Steelhead DPS,Steelhead,1000,300,1000,Viable,Intermediate,2,Extant,available,Same,Wild/None ,NOAA Salmon Population Summary database ,https://www.webapps.nwfsc.noaa.gov/apex/f?p=261:HOME:::::: ,TRUE,TRUE,TRUE
266,,,,Steelhead (Middle Columbia River DPS) - Willow Creek,Willow Creek,Umatilla And Walla Walla River,Middle Columbia River Steelhead DPS,Steelhead,,,0,,Intermediate,,Functionally Extirpated,,,,,,,,TRUE
100,NOAA Salmonid Population Summary,Status Review 2015,4/25/2016,Chinook Salmon (Upper Columbia River Spring-run ESU) - Entiat River,Entiat River,Upper Columbia / East Slope Cascades,Upper Columbia River Spring-run Chinook Salmon ESU,Chinook,500,150,500,Viable,Basic,1,Extant,available,Same,Wild/None,NOAA Salmon Population Summary database ,https://www.webapps.nwfsc.noaa.gov/apex/f?p=261:HOME:::::: ,TRUE,TRUE,TRUE
101,NOAA Salmonid Population Summary,Status Review 2015,4/25/2016,Chinook Salmon (Upper Columbia River Spring-run ESU) - Methow River,Methow River,Upper Columbia / East Slope Cascades,Upper Columbia River Spring-run Chinook Salmon ESU,Chinook,2000,600,2000,Viable,Very Large,1,Extant,available,Same,Integrated Conservation,NOAA Salmon Population Summary database ,https://www.webapps.nwfsc.noaa.gov/apex/f?p=261:HOME:::::: ,TRUE,TRUE,TRUE
102,NOAA Salmonid Population Summary,Status Review 2015,4/25/2016,Chinook Salmon (Upper Columbia River Spring-run ESU) - Wenatchee River,Wenatchee River,Upper Columbia / East Slope Cascades,Upper Columbia River Spring-run Chinook Salmon ESU,Chinook,2000,600,2000,Viable,Very Large,1,Extant,available,Same,Integrated Conservation,NOAA Salmon Population Summary database ,https://www.webapps.nwfsc.noaa.gov/apex/f?p=261:HOME:::::: ,TRUE,TRUE,TRUE
327,,,,Steelhead (Upper Columbia River DPS) - Crab Creek,Crab Creek,Upper Columbia / East Slope Cascades,Upper Columbia River Steelhead DPS,Steelhead,,,0,,,,Functionally Extirpated,,,Wild/None,,,,,TRUE
328,NOAA Salmonid Population Summary,Status Review 2015,4/25/2016,Steelhead (Upper Columbia River DPS) - Entiat River,Entiat River,Upper Columbia / East Slope Cascades,Upper Columbia River Steelhead DPS,Steelhead,500,150,500,Viable,Basic,1,Extant,available,Same,,NOAA Salmon Population Summary database ,https://www.webapps.nwfsc.noaa.gov/apex/f?p=261:HOME:::::: ,TRUE,TRUE,TRUE
329,NOAA Salmonid Population Summary,Status Review 2015,4/25/2016,Steelhead (Upper Columbia River DPS) - Methow River,Methow River,Upper Columbia / East Slope Cascades,Upper Columbia River Steelhead DPS,Steelhead,1000,300,1000,Viable,Intermediate,1,Extant,available,Same,,NOAA Salmon Population Summary database ,https://www.webapps.nwfsc.noaa.gov/apex/f?p=261:HOME:::::: ,TRUE,TRUE,TRUE
330,NOAA Salmonid Population Summary,Status Review 2015,4/25/2016,Steelhead (Upper Columbia River DPS) - Okanogan River,Okanogan River,Upper Columbia / East Slope Cascades,Upper Columbia River Steelhead DPS,Steelhead,1000,300,1000,Viable,Intermediate,1,Extant,available,Same,,NOAA Salmon Population Summary database ,https://www.webapps.nwfsc.noaa.gov/apex/f?p=261:HOME:::::: ,TRUE,TRUE,TRUE
331,NOAA Salmonid Population Summary,Status Review 2015,4/25/2016,Steelhead (Upper Columbia River DPS) - Wenatchee River,Wenatchee River,Upper Columbia / East Slope Cascades,Upper Columbia River Steelhead DPS,Steelhead,1000,300,1000,Viable,Intermediate,1,Extant,available,Same,Integrated Conservation,NOAA Salmon Population Summary database ,https://www.webapps.nwfsc.noaa.gov/apex/f?p=261:HOME:::::: ,TRUE,TRUE,TRUE
337,,,,Chinook Salmon (Upper Columbia River Spring-run ESU) - Okanogan River,Okanogan River,Upper Columbia / East Slope Cascades,Upper Columbia River Spring-run Chinook Salmon ESU,Chinook,750,225,0,None,Intermediate,2,Extirpated (reintroduction),,,Reintroduction,,,,,TRUE
64,NOAA Salmonid Population Summary,Status Review 2015,4/25/2016,Chinook Salmon (Snake River Spring/Summer-run ESU) - East Fork Salmon River,East Fork Salmon River,Upper Salmon River,Snake River Spring/Summer-run Chinook Salmon ESU,Chinook,1000,300,1000,Viable,Large,2,Extant,available,Same,Wild/None,NOAA Salmon Population Summary database ,https://www.webapps.nwfsc.noaa.gov/apex/f?p=261:HOME:::::: ,TRUE,TRUE,TRUE
70,NOAA Salmonid Population Summary,Status Review 2015,4/25/2016,Chinook Salmon (Snake River Spring/Summer-run ESU) - Lemhi River,Lemhi River,Upper Salmon River,Snake River Spring/Summer-run Chinook Salmon ESU,Chinook,2000,600,2000,Viable,Very Large,2,Extant,available,Same,Wild/None,NOAA Salmon Population Summary database ,https://www.webapps.nwfsc.noaa.gov/apex/f?p=261:HOME:::::: ,TRUE,TRUE,TRUE
84,Coordinated Assessments,,11/19/2016,Chinook Salmon (Snake River Spring/Summer-run ESU) - North Fork Salmon River,North Fork Salmon River,Upper Salmon River,Snake River Spring/Summer-run Chinook Salmon ESU,Chinook,500,150,250,Maintained,Basic,3,Extant,available,Same,Wild/None,Coordinated Assessments Exchange (CAX): Published  ,http://www.streamnet.org/data/downloadable-data/,TRUE,,TRUE
85,NOAA Salmonid Population Summary,Status Review 2015,4/25/2016,Chinook Salmon (Snake River Spring/Summer-run ESU) - Pahsimeroi River,Pahsimeroi River,Upper Salmon River,Snake River Spring/Summer-run Chinook Salmon ESU,Chinook,1000,300,1000,Viable,Large,2,Extant,available,Same,Integrated Conservation and Isolated Harvest,NOAA Salmon Population Summary database ,https://www.webapps.nwfsc.noaa.gov/apex/f?p=261:HOME:::::: ,TRUE,TRUE,TRUE
86,,,,Chinook Salmon (Snake River Spring/Summer-run ESU) - Panther Creek,Panther Creek,Upper Salmon River,Snake River Spring/Summer-run Chinook Salmon ESU,Chinook,750,225,0,,Intermediate,3,Functionally Extirpated,,,Wild/None,,,,,TRUE
88,NOAA Salmonid Population Summary,Status Review 2015,4/25/2016,Chinook Salmon (Snake River Spring/Summer-run ESU) - Salmon River Lower Mainstem below Redfish Lake,Salmon R Lower Mainstem below Redfish Lk,Upper Salmon River,Snake River Spring/Summer-run Chinook Salmon ESU,Chinook,2000,600,250,Maintained,Very Large,2,Extant,available,Same,Wild/None,NOAA Salmon Population Summary database ,https://www.webapps.nwfsc.noaa.gov/apex/f?p=261:HOME:::::: ,TRUE,TRUE,TRUE
89,NOAA Salmonid Population Summary,Status Review 2015,4/25/2016,Chinook Salmon (Snake River Spring/Summer-run ESU) - Salmon River Upper Mainstem above Redfish Lake,Salmon R Upper Mainstem above Redfish Lk,Upper Salmon River,Snake River Spring/Summer-run Chinook Salmon ESU,Chinook,1000,300,1000,Viable,Large,2,Extant,available,Same,Integrated Conservation and Isolated Harvest,NOAA Salmon Population Summary database ,https://www.webapps.nwfsc.noaa.gov/apex/f?p=261:HOME:::::: ,TRUE,TRUE,TRUE
97,NOAA Salmonid Population Summary,Status Review 2015,4/25/2016,Chinook Salmon (Snake River Spring/Summer-run ESU) - Valley Creek,Valley Creek,Upper Salmon River,Snake River Spring/Summer-run Chinook Salmon ESU,Chinook,500,150,500,Viable,Basic,2,Extant,available,Same,Wild/None,NOAA Salmon Population Summary database ,https://www.webapps.nwfsc.noaa.gov/apex/f?p=261:HOME:::::: ,TRUE,TRUE,TRUE
99,NOAA Salmonid Population Summary,Status Review 2015,4/25/2016,Chinook Salmon (Snake River Spring/Summer-run ESU) - Yankee Fork,Yankee Fork,Upper Salmon River,Snake River Spring/Summer-run Chinook Salmon ESU,Chinook,500,150,250,Maintained,Basic,1,Extant,available,Same,Integrated Conservation,NOAA Salmon Population Summary database ,https://www.webapps.nwfsc.noaa.gov/apex/f?p=261:HOME:::::: ,TRUE,TRUE,TRUE
222,,,,Sockeye Salmon (Snake River ESU) - Wallowa Lake,Wallowa Lake,Wallowa,Snake River Sockeye Salmon ESU,Sockeye,,,,,,,Extirpated,,,,,,,,
72,,,,Chinook Salmon (Snake River Spring/Summer-run ESU) - Lochsa River,Lochsa River,Wet Clearwater,Snake River Spring/Summer-run Chinook Salmon ESU,Chinook,,,,,,,Functionally Extirpated,,,Isolated Harvest,,,,,
73,,,,Chinook Salmon (Snake River Spring/Summer-run ESU) - Lolo Creek,Lolo Creek,Wet Clearwater,Snake River Spring/Summer-run Chinook Salmon ESU,Chinook,,,,,,3,Functionally Extirpated,,,Integrated Conservation,Coordinated Assessments Exchange (CAX): Unpublished  ,"Nez Perce Tribe: Department of Fisheries Resource Management ""BPA Priority Population Data"" Communication September 1st 2016",,,
77,,,,Chinook Salmon (Snake River Spring/Summer-run ESU) - Lower North Fork Clearwater River,Lower North Fork Clearwater River,Wet Clearwater,Snake River Spring/Summer-run Chinook Salmon ESU,Chinook,,,,,,,Functionally Extirpated,,,Isolated Harvest,,,,,
79,,,,Chinook Salmon (Snake River Spring/Summer-run ESU) - Meadow Creek,Meadow Creek,Wet Clearwater,Snake River Spring/Summer-run Chinook Salmon ESU,Chinook,,,,,,3,Functionally Extirpated,,,Integrated Conservation,,,,,
83,,,,Chinook Salmon (Snake River Spring/Summer-run ESU) - Moose Creek,Moose Creek,Wet Clearwater,Snake River Spring/Summer-run Chinook Salmon ESU,Chinook,,,,,,,Functionally Extirpated,,,Wild/None,,,,,
94,,,,Chinook Salmon (Snake River Spring/Summer-run ESU) - Upper North Fork Clearwater River,Upper North Fork Clearwater River,Wet Clearwater,Snake River Spring/Summer-run Chinook Salmon ESU,Chinook,,,,,,,Extirpated,,,,,,,,
95,,,,Chinook Salmon (Snake River Spring/Summer-run ESU) - Upper Selway River,Upper Selway River,Wet Clearwater,Snake River Spring/Summer-run Chinook Salmon ESU,Chinook,,,,,,3,Extirpated,,,Wild/None,,,,,
96,,,,Chinook Salmon (Snake River Spring/Summer-run ESU) - Upper South Fork Clearwater River,Upper South Fork Clearwater River,Wet Clearwater,Snake River Spring/Summer-run Chinook Salmon ESU,Chinook,,,,,,3,Extirpated,,,Isolated Harvest/Integrated Conservation,,,,,
103,,,,Chinook Salmon (Upper Willamette River ESU) - Calapooia River Spring-run,Calapooia River Spring,Willamette,Upper Willamette River Chinook Salmon ESU,Chinook,,,598,,,3,,,,,,,,,
104,NOAA Salmonid Population Summary,Status Review 2015,4/25/2016,Chinook Salmon (Upper Willamette River ESU) - Clackamas River Spring-run,Clackamas River,Willamette,Upper Willamette River Chinook Salmon ESU,Chinook,,,2314,None,None,3,Extant,available,Same,,NOAA Salmon Population Summary database ,https://www.webapps.nwfsc.noaa.gov/apex/f?p=261:HOME:::::: ,TRUE,TRUE,TRUE
105,NOAA Salmonid Population Summary,Status Review 2015,4/25/2016,Chinook Salmon (Upper Willamette River ESU) - McKenzie River Spring-run,McKenzie River,Willamette,Upper Willamette River Chinook Salmon ESU,Chinook,,,10916,None,None,3,Extant,available,Same,,NOAA Salmon Population Summary database ,https://www.webapps.nwfsc.noaa.gov/apex/f?p=261:HOME:::::: ,TRUE,TRUE,TRUE
106,,,,Chinook Salmon (Upper Willamette River ESU) - Middle Fork Willamette River Spring-run,Middle Fork Willamette River,Willamette,Upper Willamette River Chinook Salmon ESU,Chinook,,,5802,,,3,,,,,,,,,
107,,,,Chinook Salmon (Upper Willamette River ESU) - Molalla River Spring-run,Molalla River,Willamette,Upper Willamette River Chinook Salmon ESU,Chinook,,,699,,,,,,,,,,,,
108,NOAA Salmonid Population Summary,Status Review 2015,4/25/2016,Chinook Salmon (Upper Willamette River ESU) - North Santiam River Spring-run,North Santiam River,Willamette,Upper Willamette River Chinook Salmon ESU,Chinook,,,5428,None,None,3,Extant,available,Same,,NOAA Salmon Population Summary database ,https://www.webapps.nwfsc.noaa.gov/apex/f?p=261:HOME:::::: ,,TRUE,TRUE
109,NOAA Salmonid Population Summary,Status Review 2015,4/25/2016,Chinook Salmon (Upper Willamette River ESU) - South Santiam River Spring-run,South Santiam River,Willamette,Upper Willamette River Chinook Salmon ESU,Chinook,,,3116,None,None,3,Extant,available,Same,,NOAA Salmon Population Summary database ,https://www.webapps.nwfsc.noaa.gov/apex/f?p=261:HOME:::::: ,,TRUE,TRUE
332,NOAA Salmonid Population Summary,Status Review 2015,4/25/2016,Steelhead (Upper Willamette River DPS) - Calapooia River Winter-run,Calapooia River,Willamette,Upper Willamette River Steelhead DPS,Steelhead,,,5512,None,None,NA,Extant,available,Same,,NOAA Salmon Population Summary database ,https://www.webapps.nwfsc.noaa.gov/apex/f?p=261:HOME:::::: ,TRUE,TRUE,TRUE
333,NOAA Salmonid Population Summary,Status Review 2015,4/25/2016,Steelhead (Upper Willamette River DPS) - Molalla River Winter-run,Molalla River,Willamette,Upper Willamette River Steelhead DPS,Steelhead,,,3226,None,None,NA,Extant,available,Same,,NOAA Salmon Population Summary database ,https://www.webapps.nwfsc.noaa.gov/apex/f?p=261:HOME:::::: ,TRUE,TRUE,TRUE
334,NOAA Salmonid Population Summary,Status Review 2015,4/25/2016,Steelhead (Upper Willamette River DPS) - North Santiam River Winter-run,North Santiam River,Willamette,Upper Willamette River Steelhead DPS,Steelhead,,,8362,None,None,4,Extant,available,Same,,NOAA Salmon Population Summary database ,https://www.webapps.nwfsc.noaa.gov/apex/f?p=261:HOME:::::: ,TRUE,TRUE,TRUE
335,NOAA Salmonid Population Summary,Status Review 2015,4/25/2016,Steelhead (Upper Willamette River DPS) - South Santiam River Winter-run,South Santiam River,Willamette,Upper Willamette River Steelhead DPS,Steelhead,,,3912,None,None,NA,Extant,available,Same,,NOAA Salmon Population Summary database ,https://www.webapps.nwfsc.noaa.gov/apex/f?p=261:HOME:::::: ,TRUE,TRUE,TRUE
336,,,,Steelhead (Upper Willamette River DPS) - West Side Tributaries Winter-run,Willamette West Side Tributaries,Willamette,Upper Willamette River Steelhead DPS,Steelhead,,,,,,,,,,,,,,,
4,Coordinated Assessments,,11/19/2016,Chinook Salmon (Lower Columbia River ESU) - Clackamas River Fall-run,Clackamas River,Willamette - Cascade,Lower Columbia River Chinook Salmon ESU,Chinook,,,1551,Contributing,,4,,available,,,Coordinated Assessments Exchange (CAX): Published  ,http://www.streamnet.org/data/downloadable-data/,TRUE,,TRUE
111,,,,Chum Salmon (Columbia River ESU) - Clackamas River,Clackamas River,Willamette - Cascade,Columbia River Chum Salmon ESU,Chum,,,500,Contributing,,4,,,,,,,,,
130,NOAA Salmonid Population Summary,Status Review 2015,4/25/2016,Coho Salmon (Lower Columbia River ESU) - Clackamas River,Clackamas River,Willamette - Cascade,Lower Columbia River Coho Salmon ESU,Coho,,,11232,Viable,None,4,Extant,available,Same,,NOAA Salmon Population Summary database ,https://www.webapps.nwfsc.noaa.gov/apex/f?p=261:HOME:::::: ,TRUE,TRUE,TRUE
226,NOAA Salmonid Population Summary,Status Review 2015,4/25/2016,Steelhead (Lower Columbia River DPS) - Clackamas River Winter-run,Clackamas River Winter,Willamette - Cascade,Lower Columbia River Steelhead DPS,Steelhead,,,10671,Viable,None,4,Extant,available,Same,,NOAA Salmon Population Summary database ,https://www.webapps.nwfsc.noaa.gov/apex/f?p=261:HOME:::::: ,TRUE,TRUE,TRUE
256,NOAA Salmonid Population Summary,Status Review 2015,4/25/2016,Steelhead (Middle Columbia River DPS) - Naches River,Naches River,Yakima River Group,Middle Columbia River Steelhead DPS,Steelhead,1500,450,1500,Viable,Large,2,Extant,available,Same,Wild/None,NOAA Salmon Population Summary database ,https://www.webapps.nwfsc.noaa.gov/apex/f?p=261:HOME:::::: ,,TRUE,TRUE
259,NOAA Salmonid Population Summary,Status Review 2015,4/25/2016,Steelhead (Middle Columbia River DPS) - Satus Creek,Satus Creek,Yakima River Group,Middle Columbia River Steelhead DPS,Steelhead,1000,300,1000,Viable,Intermediate,2,Extant,available,Same,Wild/None,NOAA Salmon Population Summary database ,https://www.webapps.nwfsc.noaa.gov/apex/f?p=261:HOME:::::: ,,TRUE,TRUE
261,NOAA Salmonid Population Summary,Status Review 2015,4/25/2016,Steelhead (Middle Columbia River DPS) - Toppenish Creek,Toppenish Creek,Yakima River Group,Middle Columbia River Steelhead DPS,Steelhead,500,150,250,Maintained,Basic,2,Extant,available,Same,Wild - Kelt,NOAA Salmon Population Summary database ,https://www.webapps.nwfsc.noaa.gov/apex/f?p=261:HOME:::::: ,,TRUE,TRUE
267,NOAA Salmonid Population Summary,Status Review 2015,4/25/2016,Steelhead (Middle Columbia River DPS) - Yakima River upper mainstem,Yakima River upper mainstem,Yakima River Group,Middle Columbia River Steelhead DPS,Steelhead,1500,450,500,Maintained,Large,2,Extant,available,Same,Wild - Kelt,NOAA Salmon Population Summary database ,https://www.webapps.nwfsc.noaa.gov/apex/f?p=261:HOME:::::: ,,TRUE,TRUE
